system_prompt,user_prompt,post_tone,post_length,post_type,completion
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: EduFuture Learning creates educational technology tools, such as e-learning platforms and virtual classrooms, to make learning more accessible and engaging. Their products are designed for students, teachers, and educational institutions. Since 2012, they have been a pioneer in integrating technology with education.
2. product: VirtualLab Science Simulations: Simulations for virtual science experiments.
3. post length: 1-3 sentences
4. post type: Comparison Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Comparison Posts,"""Get ready to blow minds (and not just your own)! Our VirtualLab Science Simulations are like having a chemistry lab at your fingertips - minus the risk of accidental explosions. Compare our realistic, virtual experiments to traditional lab settings and see why we're the future of science education #EduFuture #VirtualLab #ScienceSimulations"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: PureSound Audio creates high-quality audio equipment, including speakers, headphones, and audio players. Their products are designed for audiophiles and professionals who demand superior sound quality. Since 2012, they have become a respected name in the audio equipment industry.
2. product: SoundSync Wireless Transmitter: Wireless transmitter for audio devices.
3. post length: 4-6 sentences
4. post type: Value Proposition Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,4-6 sentences,Value Proposition Posts,"""Sync up with perfection! Introducing SoundSync Wireless Transmitter, the ultimate game-changer from PureSound Audio. Say goodbye to tangled cords and hello to seamless wireless audio streaming. Whether you're a music enthusiast or a professional looking to elevate your sound game, SoundSync's got you covered. Upgrade your audio experience with PureSound Audio - the trusted name in the industry since 2012!"" #PureSoundAudio #SoundSync #WirelessAudio #AudiophileApproved"
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: FitLife Apparel provides stylish and high-performance fitness clothing and accessories. Their products combine advanced fabric technology with trendy designs to support an active lifestyle. Founded in 2012, they have grown into a trusted brand in the fitness industry.
2. product: CoolDry T-Shirts: T-shirts with moisture-wicking technology.
3. post length: 1-3 sentences
4. post type: Feature Highlight Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Feature Highlight Posts,"""Sweat smarter, not harder! Introducing our CoolDry T-Shirts, featuring moisture-wicking tech that keeps you dry and comfortable during even the toughest workouts. Stay fresh, stay fly, and stay FitLife!"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: BioLife Supplements produces natural health supplements, including vitamins, probiotics, and protein powders. Their products are aimed at supporting a healthy lifestyle with high-quality natural ingredients. Founded in 2015, they have established themselves as a trusted provider of natural health products.
2. product: VisionGuard Lutein: Lutein supplement for eye health.
3. post length: 1-3 sentences
4. post type: Promotional Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Promotional Posts,"""Focus on the bright side! Introducing VisionGuard Lutein, the ultimate eye health supplement from BioLife Supplements! With its potent blend of lutein and antioxidants, you'll be seeing the world in a whole new light #EyeHealth #VisionGuard #BioLifeSupplements"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: BioLife Supplements produces natural health supplements, including vitamins, probiotics, and protein powders. Their products are aimed at supporting a healthy lifestyle with high-quality natural ingredients. Founded in 2015, they have established themselves as a trusted provider of natural health products.
2. product: MemorySharp Ginkgo Biloba: Ginkgo Biloba supplement for cognitive health.
3. post length: 1-3 sentences
4. post type: Announcement Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Announcement Posts,"""Get ready to level up your brain game! Introducing MemorySharp Ginkgo Biloba, the ultimate cognitive health supplement from BioLife Supplements! Boost your focus, clarity, and memory with our high-quality Ginkgo Biloba extract. Try it out and unlock your full potential!"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: EduFuture Learning creates educational technology tools, such as e-learning platforms and virtual classrooms, to make learning more accessible and engaging. Their products are designed for students, teachers, and educational institutions. Since 2012, they have been a pioneer in integrating technology with education.
2. product: VirtualLab Science Simulations: Simulations for virtual science experiments.
3. post length: 1-3 sentences
4. post type: Comparison Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,1-3 sentences,Comparison Posts,"""Take your science lessons to the next level! With VirtualLab Science Simulations, your students can conduct virtual experiments and explore the wonders of science in a safe and controlled environment. Compare this to traditional lab settings, where equipment and safety concerns can limit your students' learning experience. #EduFutureLearning #VirtualLab #ScienceSimulations"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: PureSound Audio creates high-quality audio equipment, including speakers, headphones, and audio players. Their products are designed for audiophiles and professionals who demand superior sound quality. Since 2012, they have become a respected name in the audio equipment industry.
2. product: SoundSync Wireless Transmitter: Wireless transmitter for audio devices.
3. post length: 4-6 sentences
4. post type: Value Proposition Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,4-6 sentences,Value Proposition Posts,"""Unlock the full potential of your audio experience with PureSound Audio's SoundSync Wireless Transmitter! As a pioneer in the audio equipment industry since 2012, we've crafted a wireless solution that elevates your sound to new heights. With crystal-clear transmission and seamless connectivity, you'll be transported to a world of pure sound. Join the ranks of audiophiles and professionals who demand the best - upgrade your audio game with SoundSync today! #PureSoundAudio #SoundSync #WirelessAudio #AudioEquipment"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: FitLife Apparel provides stylish and high-performance fitness clothing and accessories. Their products combine advanced fabric technology with trendy designs to support an active lifestyle. Founded in 2012, they have grown into a trusted brand in the fitness industry.
2. product: CoolDry T-Shirts: T-shirts with moisture-wicking technology.
3. post length: 1-3 sentences
4. post type: Feature Highlight Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,1-3 sentences,Feature Highlight Posts,"""Unleash Your Best Self with FitLife Apparel's CoolDry T-Shirts!

Say goodbye to sweat-soaked shirts and hello to comfort and confidence with our moisture-wicking CoolDry T-Shirts. Designed for high-performance fitness and everyday wear, our advanced fabric technology keeps you dry and focused on your goals. #FitLifeApparel #CoolDryTShirts #FitnessMotivation"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: BioLife Supplements produces natural health supplements, including vitamins, probiotics, and protein powders. Their products are aimed at supporting a healthy lifestyle with high-quality natural ingredients. Founded in 2015, they have established themselves as a trusted provider of natural health products.
2. product: VisionGuard Lutein: Lutein supplement for eye health.
3. post length: 1-3 sentences
4. post type: Promotional Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,1-3 sentences,Promotional Posts,"""Unlock the power of clear vision with VisionGuard Lutein! As a valued part of BioLife Supplements' commitment to natural health, this potent lutein supplement supports eye health and helps you see the world in all its clarity. Try it today and discover a brighter tomorrow! #BioLifeSupplements #VisionGuardLutein #EyeHealth #NaturalSupplements"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: BioLife Supplements produces natural health supplements, including vitamins, probiotics, and protein powders. Their products are aimed at supporting a healthy lifestyle with high-quality natural ingredients. Founded in 2015, they have established themselves as a trusted provider of natural health products.
2. product: MemorySharp Ginkgo Biloba: Ginkgo Biloba supplement for cognitive health.
3. post length: 1-3 sentences
4. post type: Announcement Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,1-3 sentences,Announcement Posts,"""Unlock the power of a sharper mind! Introducing MemorySharp Ginkgo Biloba, our latest natural supplement designed to support cognitive health and boost mental clarity. As a trusted leader in the natural health industry, we're committed to helping you live your best life - start sharpening your focus today! #MemorySharp #GinkgoBiloba #CognitiveHealth"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: EduFuture Learning creates educational technology tools, such as e-learning platforms and virtual classrooms, to make learning more accessible and engaging. Their products are designed for students, teachers, and educational institutions. Since 2012, they have been a pioneer in integrating technology with education.
2. product: VirtualLab Science Simulations: Simulations for virtual science experiments.
3. post length: 1-3 sentences
4. post type: Comparison Posts
5. post tone: Trustworthy

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Trustworthy,1-3 sentences,Comparison Posts,"""Upgrade your science lessons with VirtualLab Science Simulations! Unlike traditional textbooks, our simulations bring science to life with interactive, real-world experiments. Compare the difference for yourself - traditional teaching methods vs. immersive, virtual labs. Choose EduFuture Learning for a more engaging and effective learning experience."" #EduFutureLearning #VirtualLab #ScienceSimulations"
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: PureSound Audio creates high-quality audio equipment, including speakers, headphones, and audio players. Their products are designed for audiophiles and professionals who demand superior sound quality. Since 2012, they have become a respected name in the audio equipment industry.
2. product: SoundSync Wireless Transmitter: Wireless transmitter for audio devices.
3. post length: 4-6 sentences
4. post type: Value Proposition Posts
5. post tone: Trustworthy

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Trustworthy,4-6 sentences,Value Proposition Posts,"""Upgrade your audio game with PureSound Audio's SoundSync Wireless Transmitter! As a trusted name in the industry since 2012, we're committed to delivering exceptional sound quality. Our wireless transmitter ensures seamless connectivity and crystal-clear audio for your devices. Whether you're a professional musician or an audiophile, SoundSync has got you covered. Experience the difference for yourself and discover a world of pure sound."" #PureSoundAudio #SoundSync #WirelessTransmitter #AudioEquipment #SoundQualityMatters"
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: FitLife Apparel provides stylish and high-performance fitness clothing and accessories. Their products combine advanced fabric technology with trendy designs to support an active lifestyle. Founded in 2012, they have grown into a trusted brand in the fitness industry.
2. product: CoolDry T-Shirts: T-shirts with moisture-wicking technology.
3. post length: 1-3 sentences
4. post type: Feature Highlight Posts
5. post tone: Trustworthy

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Trustworthy,1-3 sentences,Feature Highlight Posts,"""Stay cool and comfortable all day long with our CoolDry T-Shirts! Our moisture-wicking technology ensures you stay dry and focused on your fitness goals. Trust FitLife Apparel for high-performance gear that keeps up with your active lifestyle #FitLifeApparel #CoolDryTShirts #FitnessClothing"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: BioLife Supplements produces natural health supplements, including vitamins, probiotics, and protein powders. Their products are aimed at supporting a healthy lifestyle with high-quality natural ingredients. Founded in 2015, they have established themselves as a trusted provider of natural health products.
2. product: VisionGuard Lutein: Lutein supplement for eye health.
3. post length: 1-3 sentences
4. post type: Promotional Posts
5. post tone: Trustworthy

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Trustworthy,1-3 sentences,Promotional Posts,"""Protect Your Vision with BioLife Supplements! Introducing VisionGuard Lutein, our powerful lutein supplement that supports eye health and reduces the risk of age-related macular degeneration. Trust BioLife's high-quality, natural ingredients to keep your eyes healthy and strong #VisionGuard #Lutein #EyeHealth #NaturalSupplements"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: BioLife Supplements produces natural health supplements, including vitamins, probiotics, and protein powders. Their products are aimed at supporting a healthy lifestyle with high-quality natural ingredients. Founded in 2015, they have established themselves as a trusted provider of natural health products.
2. product: MemorySharp Ginkgo Biloba: Ginkgo Biloba supplement for cognitive health.
3. post length: 1-3 sentences
4. post type: Announcement Posts
5. post tone: Trustworthy

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Trustworthy,1-3 sentences,Announcement Posts,"""Exciting News! Introducing MemorySharp Ginkgo Biloba, the latest addition to our family of natural health supplements! As a trusted provider of high-quality products, we're proud to offer this powerful Ginkgo Biloba supplement to support cognitive health and mental clarity. #BioLifeSupplements #MemorySharp #GinkgoBiloba"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: Gourmet Delights offers high-quality, gourmet food products such as artisanal cheeses, chocolates, and specialty oils. Their focus is on delivering exceptional taste and quality for food enthusiasts and gourmet chefs. Established in 2015, they have quickly gained a reputation for excellence in the food industry.
2. product: Heritage Breed Pork Sausages: Sausages made from heritage breed pork.
3. post length: 1-3 sentences
4. post type: Comparison Posts
5. post tone: Enthusiastic

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Enthusiastic,1-3 sentences,Comparison Posts,"""Say goodbye to bland, mass-produced sausages and hello to the rich, unadulterated flavor of Heritage Breed Pork Sausages from Gourmet Delights! Compare these artisanal sausages to the usual suspects and taste the difference for yourself - our heritage breed pork is raised without antibiotics or hormones, ensuring a more nuanced, complex flavor profile that will elevate your cooking game #GourmetDelights #HeritageBreedPork #ArtisanalSausages"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: HomeHaven Furnishings sells stylish and affordable furniture for homes, including living room sets, bedroom furniture, and home décor. Their designs cater to both modern and classic tastes. Founded in 2013, they have become a trusted name in the home furnishings market.
2. product: OfficePro Desk: Desk designed for professional use.
3. post length: 1-3 sentences
4. post type: Feature Highlight Posts
5. post tone: Enthusiastic

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Enthusiastic,1-3 sentences,Feature Highlight Posts,"""Get ready to level up your workspace with OfficePro Desk from HomeHaven Furnishings! This stylish and ergonomic desk is designed for professional use, perfect for remote workers, entrepreneurs, and anyone who wants to stay productive and focused. Say goodbye to cluttered desks and hello to a more organized you! #HomeHavenFurnishings #OfficeProDesk #ProductivityHacks"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: PureBeauty Cosmetics offers natural and eco-friendly beauty products, including skincare, makeup, and hair care. They emphasize using sustainable ingredients to enhance natural beauty. Founded in 2015, the company is dedicated to promoting sustainability in the beauty industry.
2. product: PureProtect Sunscreen: Sunscreen with broad-spectrum protection.
3. post length: 1-3 sentences
4. post type: Question Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Question Posts,"""Sunscreen conundrum: Are you tired of slathering on chemical-laden lotions that leave your skin feeling like the Sahara desert? Introducing PureProtect Sunscreen, the eco-friendly solution that's got your back (and skin) protected #PureBeauty #SustainableSunscreen #NaturalBeauty"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: AdventureGear Co. sells durable and innovative outdoor gear, including hiking boots, camping tents, and climbing equipment. Their products are designed for adventure enthusiasts who need reliable gear for tough conditions. Founded in 2010, they are known for their rugged and high-quality outdoor equipment.
2. product: GeoCompass Navigation Device: Navigation device for geolocation.
3. post length: 1-3 sentences
4. post type: Comparison Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,1-3 sentences,Comparison Posts,"""Get lost in the right direction with GeoCompass! Compare it to your average GPS device and you'll find that our rugged navigation device is the ultimate companion for your next adventure. Waterproof, shockproof, and more reliable than your smartphone's compass #AdventureGear #GeoCompass #NavigateLikeAPro"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: HealthPro Pharmaceuticals develops and sells a wide range of pharmaceutical products, including prescription drugs, over-the-counter medications, and vaccines. They are committed to improving health and well-being through rigorous research and development. Established in 1980, they are recognized for their long-standing reputation in the industry.
2. product: OsteoGuard Bone Health: Supplement to support bone density.
3. post length: 1-3 sentences
4. post type: Feature Highlight Posts
5. post tone: Inspirational

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Inspirational,1-3 sentences,Feature Highlight Posts,"""Take control of your bone health with OsteoGuard Bone Health! As we age, our bones naturally weaken, but with OsteoGuard, you can support your bone density and maintain a strong, healthy body. Trust the experts at HealthPro Pharmaceuticals, pioneers in the industry since 1980, to help you achieve optimal well-being #OsteoGuard #BoneHealth #HealthProPharmaceuticals"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: TechNova Innovations designs and manufactures consumer electronics like smart home devices, wearables, and high-performance laptops. Their focus is on creating cutting-edge technology that enhances everyday life. Since 2010, they have become a leading name in innovative and user-friendly electronics.
2. product: VistaVR Headset: Virtual reality headset for immersive experiences.
3. post length: 4-6 sentences
4. post type: Value Proposition Posts
5. post tone: Professional

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Professional,4-6 sentences,Value Proposition Posts,"""Experience the future of entertainment and innovation with VistaVR Headset from TechNova Innovations! As a pioneer in consumer electronics, we've designed a virtual reality headset that transports you to new dimensions. With crystal-clear visuals and lifelike sound, immerse yourself in gaming, movies, and more. Upgrade your entertainment experience and discover a world beyond boundaries. Get ready to be amazed! #VistaVR #TechNovaInnovations #VirtualReality"""
You are an expert sales copywriting assistant for social media who understands the attention economy and modern digital advertisment.,"Write me a sales post for my company's product with the following characterisitics:
1. company description: FitLife Apparel provides stylish and high-performance fitness clothing and accessories. Their products combine advanced fabric technology with trendy designs to support an active lifestyle. Founded in 2012, they have grown into a trusted brand in the fitness industry.
2. product: ProStretch Yoga Pants: Yoga pants with optimal stretch.
3. post length: 4-6 sentences
4. post type: User-Generated Content Posts
5. post tone: Witty

Your output MUST be ONLY the social media post with NO additional information, text, commentary or anything extra.",Witty,4-6 sentences,User-Generated Content Posts,"""Stretch your style and your limits with ProStretch Yoga Pants! Our friends at FitLife Apparel know a thing or two about comfortable, high-performance gear - and these babies deliver! With optimal stretch and a dash of sass, you'll be bending, twisting, and sweating in style. Check out the latest from FitLife Apparel and get ready to take your yoga practice to the next level! #FitLifeApparel #ProStretchYogaPants #YogaGoals"""
